first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Joël,Veltman,DEF,95,1,1,2183,29,200.8,406.2,162.0,6,77.2,10,0.25,3.92
Robert,Sánchez,GK,82,0,0,2070,30,0.1,439.0,0.0,10,43.9,6,0.09,3.57
Tariq,Lamptey,DEF,23,0,0,439,7,87.2,70.6,48.0,0,20.6,1,0.21,4.72
Steven,Alzate,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Alexis,Mac Allister,MID,140,10,2,2882,45,729.6,741.0,706.0,18,217.8,10,0.25,4.37
Jakub,Moder,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Enock,Mwepu,MID,11,0,1,209,4,39.0,48.8,34.0,0,12.2,0,0.0,0.0
Jeremy,Sarmiento Morante,MID,16,0,2,168,2,38.2,46.6,50.0,0,12.9,1,0.0,0.0
Moisés,Caicedo Corozo,MID,79,1,1,3138,47,668.6,582.2,210.0,0,146.3,10,0.29,2.27
Taylor,Richards,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Haydon,Roberts,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
